,angry,disappointed,happy,neutral,sad,surprised
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10161.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10162.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10160.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10167.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10166.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10149.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10168.jpg,1.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10170.jpg,0.0,0.0,3.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10173.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10172.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10169.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10178.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10180.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10176.jpg,0.0,0.0,1.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10184.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10186.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10185.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10182.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10188.jpg,0.0,0.0,1.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10183.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10187.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10192.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10197.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10189.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10200.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10199.jpg,0.0,0.0,0.0,0.0,0.0,0.0
