,color_entropy
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10239.jpg,22.895868
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10242.jpg,22.732359
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10240.jpg,19.66182
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10244.jpg,21.454315
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10243.jpg,22.95525
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10245.jpg,21.961288
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10246.jpg,20.854755
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10247.jpg,21.15884
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10253.jpg,20.971596
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10249.jpg,22.602697
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10250.jpg,20.914457
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10254.jpg,21.382889
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10255.jpg,22.69545
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10257.jpg,21.057602
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10258.jpg,23.069225
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10251.jpg,22.465439
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10262.jpg,21.904043
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10256.jpg,23.077213
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10271.jpg,21.618994
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10265.jpg,21.821129
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10273.jpg,21.861303
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10276.jpg,22.4366
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10277.jpg,23.392105
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10279.jpg,18.286163
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10284.jpg,23.1423
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10285.jpg,20.376728
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10287.jpg,23.506926
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10283.jpg,22.264523
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10289.jpg,22.932678
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10290.jpg,23.56334
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10295.jpg,23.108894
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10274.jpg,22.644201
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10292.jpg,23.32566
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10296.jpg,23.242153
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10298.jpg,20.03181
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10302.jpg,23.372784
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10300.jpg,20.931276
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10299.jpg,20.931276
