,image,prediction
165,/Users/thomaslim/data/image_201509_onlyrefugee/1227.jpg,-7.042607
166,/Users/thomaslim/data/image_201509_onlyrefugee/6548.jpg,0.94895196
167,/Users/thomaslim/data/image_201509_onlyrefugee/1541.jpg,-3.8238707
168,/Users/thomaslim/data/image_201509_onlyrefugee/7130.jpg,-1.108228
169,/Users/thomaslim/data/image_201509_onlyrefugee/3356.jpg,3.1466696
170,/Users/thomaslim/data/image_201509_onlyrefugee/2048.jpg,-2.7794068
171,/Users/thomaslim/data/image_201509_onlyrefugee/5727.jpg,4.3630786
172,/Users/thomaslim/data/image_201509_onlyrefugee/5733.jpg,-0.2675834
173,/Users/thomaslim/data/image_201509_onlyrefugee/9109.jpg,-11.125157
174,/Users/thomaslim/data/image_201509_onlyrefugee/1555.jpg,1.3994608
175,/Users/thomaslim/data/image_201509_onlyrefugee/8217.jpg,-0.25912157
176,/Users/thomaslim/data/image_201509_onlyrefugee/7642.jpg,0.97168225
177,/Users/thomaslim/data/image_201509_onlyrefugee/8571.jpg,0.6793253
178,/Users/thomaslim/data/image_201509_onlyrefugee/1233.jpg,-2.658083
179,/Users/thomaslim/data/image_201509_onlyrefugee/3424.jpg,-1.5176175
180,/Users/thomaslim/data/image_201509_onlyrefugee/10296.jpg,-1.5801804
181,/Users/thomaslim/data/image_201509_onlyrefugee/7871.jpg,-0.6264945
182,/Users/thomaslim/data/image_201509_onlyrefugee/9684.jpg,19.49465
183,/Users/thomaslim/data/image_201509_onlyrefugee/5914.jpg,1.3780684
184,/Users/thomaslim/data/image_201509_onlyrefugee/9690.jpg,0.27869922
185,/Users/thomaslim/data/image_201509_onlyrefugee/770.jpg,-3.978774
186,/Users/thomaslim/data/image_201509_onlyrefugee/7695.jpg,7.060615
187,/Users/thomaslim/data/image_201509_onlyrefugee/2935.jpg,-2.1882758
188,/Users/thomaslim/data/image_201509_onlyrefugee/3395.jpg,-0.43909305
189,/Users/thomaslim/data/image_201509_onlyrefugee/3381.jpg,2.089949
190,/Users/thomaslim/data/image_201509_onlyrefugee/5928.jpg,0.5434836
191,/Users/thomaslim/data/image_201509_onlyrefugee/4388.jpg,0.25938517
192,/Users/thomaslim/data/image_201509_onlyrefugee/7681.jpg,-16.530611
193,/Users/thomaslim/data/image_201509_onlyrefugee/5929.jpg,-0.32851067
194,/Users/thomaslim/data/image_201509_onlyrefugee/1597.jpg,0.4651416
195,/Users/thomaslim/data/image_201509_onlyrefugee/9875.jpg,-3.443421
196,/Users/thomaslim/data/image_201509_onlyrefugee/7858.jpg,0.15640163
197,/Users/thomaslim/data/image_201509_onlyrefugee/2920.jpg,-3.9074297
198,/Users/thomaslim/data/image_201509_onlyrefugee/5083.jpg,9.745155
199,/Users/thomaslim/data/image_201509_onlyrefugee/2934.jpg,-0.84944934
200,/Users/thomaslim/data/image_201509_onlyrefugee/1583.jpg,3.6174674
201,/Users/thomaslim/data/image_201509_onlyrefugee/5915.jpg,2.1251829
202,/Users/thomaslim/data/image_201509_onlyrefugee/10283.jpg,-0.10595849
203,/Users/thomaslim/data/image_201509_onlyrefugee/7870.jpg,-1.0986156
204,/Users/thomaslim/data/image_201509_onlyrefugee/10297.jpg,-0.43627924
205,/Users/thomaslim/data/image_201509_onlyrefugee/2908.jpg,1.8198826
206,/Users/thomaslim/data/image_201509_onlyrefugee/5901.jpg,-0.057008028
207,/Users/thomaslim/data/image_201509_onlyrefugee/8216.jpg,-1.8704934
208,/Users/thomaslim/data/image_201509_onlyrefugee/9108.jpg,2.8378422
209,/Users/thomaslim/data/image_201509_onlyrefugee/5732.jpg,-5.2799053
210,/Users/thomaslim/data/image_201509_onlyrefugee/3343.jpg,-0.8107833
211,/Users/thomaslim/data/image_201509_onlyrefugee/6549.jpg,-1.0591164
212,/Users/thomaslim/data/image_201509_onlyrefugee/8564.jpg,-1.4013638
213,/Users/thomaslim/data/image_201509_onlyrefugee/3431.jpg,1.3843453
214,/Users/thomaslim/data/image_201509_onlyrefugee/5040.jpg,-0.091537684
215,/Users/thomaslim/data/image_201509_onlyrefugee/3357.jpg,2.0589695
216,/Users/thomaslim/data/image_201509_onlyrefugee/4438.jpg,0.6466224
217,/Users/thomaslim/data/image_201509_onlyrefugee/8202.jpg,-5.055571
218,/Users/thomaslim/data/image_201509_onlyrefugee/2061.jpg,-0.21791121
219,/Users/thomaslim/data/image_201509_onlyrefugee/10526.jpg,-0.12657008
220,/Users/thomaslim/data/image_201509_onlyrefugee/7119.jpg,0.48296604
221,/Users/thomaslim/data/image_201509_onlyrefugee/1568.jpg,-1.4979999
222,/Users/thomaslim/data/image_201509_onlyrefugee/2707.jpg,-0.5360568
223,/Users/thomaslim/data/image_201509_onlyrefugee/10240.jpg,-1.2667894
224,/Users/thomaslim/data/image_201509_onlyrefugee/5068.jpg,-3.7738314
225,/Users/thomaslim/data/image_201509_onlyrefugee/10254.jpg,-3.301526
226,/Users/thomaslim/data/image_201509_onlyrefugee/8558.jpg,2.792733
227,/Users/thomaslim/data/image_201509_onlyrefugee/9120.jpg,-3.3929384
228,/Users/thomaslim/data/image_201509_onlyrefugee/2075.jpg,-6.8032184
229,/Users/thomaslim/data/image_201509_onlyrefugee/10532.jpg,1.0640135
230,/Users/thomaslim/data/image_201509_onlyrefugee/7482.jpg,-2.510843
231,/Users/thomaslim/data/image_201509_onlyrefugee/1795.jpg,-2.5030286
232,/Users/thomaslim/data/image_201509_onlyrefugee/4835.jpg,-4.0175147
233,/Users/thomaslim/data/image_201509_onlyrefugee/10903.jpg,2.203857
234,/Users/thomaslim/data/image_201509_onlyrefugee/2288.jpg,3.0841396
235,/Users/thomaslim/data/image_201509_onlyrefugee/4821.jpg,-2.960313
236,/Users/thomaslim/data/image_201509_onlyrefugee/10917.jpg,-1.3870301
237,/Users/thomaslim/data/image_201509_onlyrefugee/3196.jpg,0.2174665
238,/Users/thomaslim/data/image_201509_onlyrefugee/1959.jpg,2.29948
239,/Users/thomaslim/data/image_201509_onlyrefugee/7496.jpg,-1.4888322
240,/Users/thomaslim/data/image_201509_onlyrefugee/6950.jpg,0.48717445
241,/Users/thomaslim/data/image_201509_onlyrefugee/9493.jpg,-11.50869
242,/Users/thomaslim/data/image_201509_onlyrefugee/3800.jpg,-9.276329
243,/Users/thomaslim/data/image_201509_onlyrefugee/4809.jpg,-10.926564
244,/Users/thomaslim/data/image_201509_onlyrefugee/1971.jpg,0.23434499
245,/Users/thomaslim/data/image_201509_onlyrefugee/1965.jpg,2.4337335
246,/Users/thomaslim/data/image_201509_onlyrefugee/8941.jpg,-0.9228596
247,/Users/thomaslim/data/image_201509_onlyrefugee/9487.jpg,0.06567752
248,/Users/thomaslim/data/image_201509_onlyrefugee/8799.jpg,-20.98086
249,/Users/thomaslim/data/image_201509_onlyrefugee/7441.jpg,9.317045
250,/Users/thomaslim/data/image_201509_onlyrefugee/8772.jpg,-2.6520226
251,/Users/thomaslim/data/image_201509_onlyrefugee/6987.jpg,0.20561633
252,/Users/thomaslim/data/image_201509_onlyrefugee/5256.jpg,-9.258184
253,/Users/thomaslim/data/image_201509_onlyrefugee/3627.jpg,-1.1880932
254,/Users/thomaslim/data/image_201509_onlyrefugee/4148.jpg,0.23132324
255,/Users/thomaslim/data/image_201509_onlyrefugee/10718.jpg,0.31336096
256,/Users/thomaslim/data/image_201509_onlyrefugee/5530.jpg,1.3185833
257,/Users/thomaslim/data/image_201509_onlyrefugee/6039.jpg,-0.6547045
258,/Users/thomaslim/data/image_201509_onlyrefugee/1756.jpg,-3.1309457
259,/Users/thomaslim/data/image_201509_onlyrefugee/1742.jpg,1.2561302
260,/Users/thomaslim/data/image_201509_onlyrefugee/8000.jpg,-87.953766
261,/Users/thomaslim/data/image_201509_onlyrefugee/5242.jpg,2.7240984
262,/Users/thomaslim/data/image_201509_onlyrefugee/9478.jpg,1.5093231
263,/Users/thomaslim/data/image_201509_onlyrefugee/10042.jpg,1.9530025
264,/Users/thomaslim/data/image_201509_onlyrefugee/2505.jpg,4.030876
265,/Users/thomaslim/data/image_201509_onlyrefugee/8996.jpg,-0.7977286
266,/Users/thomaslim/data/image_201509_onlyrefugee/9450.jpg,-0.82290894
267,/Users/thomaslim/data/image_201509_onlyrefugee/9336.jpg,0.9614314
268,/Users/thomaslim/data/image_201509_onlyrefugee/6005.jpg,71.74096
269,/Users/thomaslim/data/image_201509_onlyrefugee/10724.jpg,0.5942707
270,/Users/thomaslim/data/image_201509_onlyrefugee/2263.jpg,2.027147
271,/Users/thomaslim/data/image_201509_onlyrefugee/4606.jpg,1.9464741
272,/Users/thomaslim/data/image_201509_onlyrefugee/3169.jpg,-7.531522
273,/Users/thomaslim/data/image_201509_onlyrefugee/10730.jpg,3.5897062
274,/Users/thomaslim/data/image_201509_onlyrefugee/2277.jpg,1.2264323
275,/Users/thomaslim/data/image_201509_onlyrefugee/5518.jpg,-0.0354819
276,/Users/thomaslim/data/image_201509_onlyrefugee/8982.jpg,-0.42023188
277,/Users/thomaslim/data/image_201509_onlyrefugee/10056.jpg,0.09728512
278,/Users/thomaslim/data/image_201509_onlyrefugee/3948.jpg,-0.6370134
279,/Users/thomaslim/data/image_201509_onlyrefugee/413.jpg,1.4906545
280,/Users/thomaslim/data/image_201509_onlyrefugee/1839.jpg,-2.6551692
281,/Users/thomaslim/data/image_201509_onlyrefugee/10877.jpg,-0.10289976
282,/Users/thomaslim/data/image_201509_onlyrefugee/10863.jpg,-8.668481
283,/Users/thomaslim/data/image_201509_onlyrefugee/4955.jpg,-1.0842643
284,/Users/thomaslim/data/image_201509_onlyrefugee/407.jpg,0.95532507
285,/Users/thomaslim/data/image_201509_onlyrefugee/8809.jpg,2.163722
286,/Users/thomaslim/data/image_201509_onlyrefugee/3784.jpg,1.2079031
287,/Users/thomaslim/data/image_201509_onlyrefugee/10693.jpg,0.7871366
288,/Users/thomaslim/data/image_201509_onlyrefugee/9295.jpg,0.059881866
289,/Users/thomaslim/data/image_201509_onlyrefugee/10687.jpg,0.9849963
290,/Users/thomaslim/data/image_201509_onlyrefugee/4969.jpg,-2.4035337
291,/Users/thomaslim/data/image_201509_onlyrefugee/6818.jpg,3.193864
292,/Users/thomaslim/data/image_201509_onlyrefugee/8835.jpg,25.317684
293,/Users/thomaslim/data/image_201509_onlyrefugee/9518.jpg,1.6743009
294,/Users/thomaslim/data/image_201509_onlyrefugee/7535.jpg,-1.6562185
295,/Users/thomaslim/data/image_201509_onlyrefugee/8606.jpg,0.10169801
296,/Users/thomaslim/data/image_201509_onlyrefugee/3753.jpg,0.08563635
297,/Users/thomaslim/data/image_201509_onlyrefugee/4982.jpg,-0.43287235
298,/Users/thomaslim/data/image_201509_onlyrefugee/3035.jpg,1.3310406
299,/Users/thomaslim/data/image_201509_onlyrefugee/7253.jpg,6.276466
300,/Users/thomaslim/data/image_201509_onlyrefugee/8160.jpg,0.9498907
301,/Users/thomaslim/data/image_201509_onlyrefugee/1622.jpg,2.4224827
302,/Users/thomaslim/data/image_201509_onlyrefugee/7247.jpg,11.40211
303,/Users/thomaslim/data/image_201509_onlyrefugee/8174.jpg,-0.9800001
304,/Users/thomaslim/data/image_201509_onlyrefugee/1636.jpg,2.5197108
305,/Users/thomaslim/data/image_201509_onlyrefugee/10678.jpg,0.15826783
306,/Users/thomaslim/data/image_201509_onlyrefugee/3021.jpg,1.4305825
307,/Users/thomaslim/data/image_201509_onlyrefugee/4028.jpg,0.3478857
308,/Users/thomaslim/data/image_201509_onlyrefugee/3747.jpg,2.0038698
309,/Users/thomaslim/data/image_201509_onlyrefugee/5336.jpg,-6.484975
310,/Users/thomaslim/data/image_201509_onlyrefugee/7521.jpg,14.408804
311,/Users/thomaslim/data/image_201509_onlyrefugee/8612.jpg,2.0559254
312,/Users/thomaslim/data/image_201509_onlyrefugee/9524.jpg,-3.1039324
313,/Users/thomaslim/data/image_201509_onlyrefugee/6617.jpg,2.3713775
314,/Users/thomaslim/data/image_201509_onlyrefugee/1178.jpg,-5.9746547
315,/Users/thomaslim/data/image_201509_onlyrefugee/9242.jpg,0.6119449
316,/Users/thomaslim/data/image_201509_onlyrefugee/6171.jpg,-1.774662
317,/Users/thomaslim/data/image_201509_onlyrefugee/3009.jpg,2.142185
318,/Users/thomaslim/data/image_201509_onlyrefugee/10888.jpg,1.514554
319,/Users/thomaslim/data/image_201509_onlyrefugee/10644.jpg,-0.52513236
320,/Users/thomaslim/data/image_201509_onlyrefugee/2303.jpg,1.2163198
321,/Users/thomaslim/data/image_201509_onlyrefugee/9256.jpg,7.80484
322,/Users/thomaslim/data/image_201509_onlyrefugee/6165.jpg,-1.1867592
323,/Users/thomaslim/data/image_201509_onlyrefugee/9530.jpg,13.220425
324,/Users/thomaslim/data/image_201509_onlyrefugee/6603.jpg,2.2745786
325,/Users/thomaslim/data/image_201509_onlyrefugee/10122.jpg,8.7709055
326,/Users/thomaslim/data/image_201509_onlyrefugee/5685.jpg,4.6286654
327,/Users/thomaslim/data/image_201509_onlyrefugee/7092.jpg,-0.2809063
328,/Users/thomaslim/data/image_201509_onlyrefugee/1385.jpg,-3.5176883
329,/Users/thomaslim/data/image_201509_onlyrefugee/89.jpg,1.297684
330,/Users/thomaslim/data/image_201509_onlyrefugee/9901.jpg,-0.037875533
331,/Users/thomaslim/data/image_201509_onlyrefugee/2854.jpg,-0.09279168
332,/Users/thomaslim/data/image_201509_onlyrefugee/3586.jpg,-9.567178
333,/Users/thomaslim/data/image_201509_onlyrefugee/2840.jpg,3.1866543
334,/Users/thomaslim/data/image_201509_onlyrefugee/605.jpg,1.6054001
335,/Users/thomaslim/data/image_201509_onlyrefugee/7086.jpg,1.561579
336,/Users/thomaslim/data/image_201509_onlyrefugee/5861.jpg,-4.5295486
337,/Users/thomaslim/data/image_201509_onlyrefugee/9929.jpg,1.2589223
338,/Users/thomaslim/data/image_201509_onlyrefugee/10485.jpg,5.6899676
339,/Users/thomaslim/data/image_201509_onlyrefugee/5875.jpg,-0.7323587
340,/Users/thomaslim/data/image_201509_onlyrefugee/8389.jpg,-1.9308717
341,/Users/thomaslim/data/image_201509_onlyrefugee/9097.jpg,-2.4341922
342,/Users/thomaslim/data/image_201509_onlyrefugee/8362.jpg,-0.09479371
343,/Users/thomaslim/data/image_201509_onlyrefugee/7051.jpg,0.37711167
344,/Users/thomaslim/data/image_201509_onlyrefugee/2129.jpg,2.6210828
345,/Users/thomaslim/data/image_201509_onlyrefugee/5120.jpg,1.1677668
346,/Users/thomaslim/data/image_201509_onlyrefugee/10308.jpg,-0.103673875
